Name,Code,Deployed,Domain,Idea,Skills,Technologies
ShowByte,,www.tinyurl.com/sk963,Web,Portfolio Dashboard,,
NoteCraft-,https://github.com/SK963/Notecraft,https://notemehere.netlify.app/,Web,Note Taking App,"Express , MongoDB , React ",
"MuscleMart ",,tinyurl.com/musclemart79342,Web,E-Commerce Application,,
Quicklink,,tinyurl.com/quicklink0456,Web,URL Shortner,,
ShowFlow,,tinyurl.com/showflow78453,Web,Content Streaming Platform,,
TalkBuzz,,tinyurl.com/taklbuzz4754,Web,Chat application,,
Chat Bot,Not started,,Data,,GEN AI,
HR Anlytics  Dahboard,,https://1drv.ms/x/c/b722794a7ace580f/EfSivCOtm6hGiFht4PuQ1J8BLjoiTTwH48H_5w3zHd6Efg?e=kos38f,Data,,Excel,
Binge Buddy,,,Data,Movie Recommendation System,NLP,
Sentiment Anlysis,,,Data,,ML,
IBM HR ANALYTICS : Tableau Dashboard,,https://public.tableau.com/views/IBMHRAnalytics_17485310101300/Dashboard?:language=en-US&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,Data,,Tableau,
Data Science Porjects,,,Data,,,"AGENT, GEN AI, LLM, RAG"